empresa,titulo,link,data_abertura,data_fechamento
BMG,Analista de Produtos Pleno - Analytics,https://bmg.gupy.io/jobs/9058735?jobBoardSource=gupy_public_page,2025-06-13,2025-06-30
Localiza,ANALISTA DE DADOS E CRM SR | BELO HORIZONTE/MG,https://localiza.gupy.io/jobs/9290654?jobBoardSource=gupy_public_page,2025-06-13,
Boticário,Analista I - Produto Desodorante Business (Vaga temporária),https://grupoboticario.gupy.io/jobs/9187162?jobBoardSource=gupy_public_page,2025-06-13,2025-07-01
OLX,Staff Data Engineer - Data Platform,https://vemsergrupoolx.gupy.io/jobs/8934847?jobBoardSource=gupy_public_page,2025-06-13,
C&A,Analista People Analytics Pleno,https://cea.gupy.io/jobs/8907699?jobBoardSource=gupy_public_page,2025-06-13,2025-06-23
Boticário,Machine Learning Engineer III (Diretoria de Dados) ·,https://grupoboticario.gupy.io/jobs/8668730?jobBoardSource=gupy_public_page,2025-06-13,2025-06-14
Boticário,Analista de Dados II - Soluções Financeiras,https://grupoboticario.gupy.io/jobs/9330878?jobBoardSource=gupy_public_page,2025-06-16,2025-06-24
OLX,Data Observability - Junior,https://vemsergrupoolx.gupy.io/jobs/9250503?jobBoardSource=gupy_public_page,2025-06-17,2025-06-23
Boticário,Pessoa Engenheira DataOps Especialista I - (Diretoria de Dados),https://grupoboticario.gupy.io/jobs/9275863?jobBoardSource=gupy_public_page,2025-06-18,2025-06-25
Boticário,Gerente de Engenharia de Produtos - Industrial,https://grupoboticario.gupy.io/jobs/9359563?jobBoardSource=gupy_public_page,2025-06-18,2025-06-25
Itaú,Product Analyst (PA) PL. | Canais Assistidos🧡🚀,https://vemproitau.gupy.io/jobs/9351721?jobBoardSource=gupy_public_page,2025-06-18,2025-07-10
Itaú,Analista de Dados Crédito SR | Engenheiro Agrônomo 🚀🧡,https://vemproitau.gupy.io/jobs/9302544?jobBoardSource=gupy_public_page,2025-06-19,
Boticário,Product Designer Especialista - Venda Direta,https://grupoboticario.gupy.io/jobs/9240944?jobBoardSource=gupy_public_page,2025-06-19,2025-06-24
Itaú,Analista de Politicas de Crédito PL | Analytics - Agronegócio 🧡🚀,https://vemproitau.gupy.io/jobs/9342898?jobBoardSource=gupy_public_page,2025-06-19,
AmbevTech,[Ambev Global Tech] Associate Data Manager,https://ambevtech.gupy.io/jobs/9384266?jobBoardSource=gupy_public_page,2025-06-23,
C&A,Product Owner Sênior - Canais Digitais,https://cea.gupy.io/jobs/8929549?jobBoardSource=gupy_public_page,2025-06-23,2025-06-27
C&A,Produtor(a) de Moda Pleno - Afirmativo para Mulheres,https://cea.gupy.io/jobs/9408492?jobBoardSource=gupy_public_page,2025-06-24,
Itaú,Analista de Dados - Exclusivo para profissionais com deficiência,https://vemproitau.gupy.io/jobs/9388476?jobBoardSource=gupy_public_page,2025-06-24,
Localiza,ANALISTA DE EXPERIENCIA DO CLIENTE SR - ANALYTICS | Híbrido (Belo Horizonte ou São Paulo),https://localiza.gupy.io/jobs/9281447?jobBoardSource=gupy_public_page,2025-06-24,
OLX,Analytics Engineer Pleno - Data Operation Center (Vaga Afirmativa Para Mulheres),https://vemsergrupoolx.gupy.io/jobs/9307224?jobBoardSource=gupy_public_page,2025-06-25,2025-07-16
